"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-12,145,monthly,252724,2009-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-12,9500,monthly,270118,2009-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-01,83,monthly,259719,2010-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-01,6212,monthly,279724,2010-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-02,128,monthly,261556,2010-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-02,6312,monthly,278753,2010-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-03,117,monthly,264174,2010-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-03,7308,monthly,280472,2010-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-04,101,monthly,265923,2010-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-04,7032,monthly,281981,2010-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-05,110,monthly,267946,2010-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-05,7106,monthly,281762,2010-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-06,142,monthly,265516,2010-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-06,8756,monthly,284541,2010-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-07,166,monthly,266869,2010-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-07,9461,monthly,292772,2010-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-08,169,monthly,267784,2010-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-08,8570,monthly,290646,2010-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-09,135,monthly,276254,2010-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-09,8194,monthly,290093,2010-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-10,143,monthly,280236,2010-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-10,7871,monthly,286131,2010-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-11,140,monthly,278565,2010-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-11,7663,monthly,282290,2010-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2010-12,115,monthly,274684,2010-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2010-12,7448,monthly,285353,2010-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-01,104,monthly,266381,2011-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-01,5870,monthly,287983,2011-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-02,94,monthly,263022,2011-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-02,5796,monthly,285227,2011-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-03,93,monthly,263634,2011-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-03,6675,monthly,287092,2011-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-04,115,monthly,269614,2011-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-04,6903,monthly,293993,2011-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-05,86,monthly,273540,2011-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-05,6460,monthly,284722,2011-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-06,143,monthly,276489,2011-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-06,7846,monthly,285906,2011-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-07,163,monthly,278894,2011-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-07,8742,monthly,295843,2011-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-08,180,monthly,280828,2011-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-08,8998,monthly,294903,2011-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-09,175,monthly,278048,2011-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-09,8707,monthly,295358,2011-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-10,148,monthly,281311,2011-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-10,7871,monthly,292267,2011-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-11,129,monthly,289636,2011-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-11,7956,monthly,291036,2011-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2011-12,127,monthly,293263,2011-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2011-12,8217,monthly,292284,2011-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-01,92,monthly,291781,2012-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-01,6531,monthly,294360,2012-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-02,84,monthly,283983,2012-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-02,6659,monthly,292381,2012-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-03,129,monthly,281111,2012-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-03,9099,monthly,290379,2012-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-04,95,monthly,285799,2012-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-04,5961,monthly,299065,2012-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-05,101,monthly,294969,2012-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-05,7374,monthly,304081,2012-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-06,120,monthly,298007,2012-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-06,8132,monthly,306823,2012-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-07,112,monthly,298866,2012-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-07,8751,monthly,308962,2012-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-08,163,monthly,297753,2012-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-08,9073,monthly,310043,2012-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-09,150,monthly,306265,2012-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-09,7906,monthly,308469,2012-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-10,122,monthly,300593,2012-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-10,8146,monthly,310281,2012-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-11,146,monthly,302677,2012-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-11,8626,monthly,308540,2012-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2012-12,148,monthly,302079,2012-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2012-12,7601,monthly,313744,2012-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-01,90,monthly,312977,2013-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-01,6834,monthly,311364,2013-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2013-02,101,monthly,312155,2013-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-02,6693,monthly,313550,2013-02-01
